iter	Logloss
0	0.6819600039
1	0.6738325718
2	0.6668435364
3	0.6607993788
4	0.6545117473
5	0.6490487746
6	0.6440520661
7	0.638712788
8	0.6347125143
9	0.6285866796
10	0.6228809866
11	0.6180472902
12	0.6131712381
13	0.6098108863
14	0.6074372951
15	0.6036017816
16	0.6002468863
17	0.5962090096
18	0.5933432473
19	0.5912045921
20	0.5883835864
21	0.5865324771
22	0.5846193896
23	0.5820089916
24	0.5801209396
25	0.5778582487
26	0.5760358991
27	0.5743239182
28	0.5718195557
29	0.5698335858
30	0.5685655872
31	0.5671629103
32	0.5657512997
33	0.5634423239
34	0.5627860901
35	0.5619565223
36	0.559818334
37	0.5579756535
38	0.5559592264
39	0.554870691
40	0.5536879136
41	0.5525565506
42	0.5508065262
43	0.5501352141
44	0.548836948
45	0.5473598305
46	0.5455832421
47	0.5443003062
48	0.5423512128
49	0.5407855184
50	0.5399449255
51	0.5389906785
52	0.5379077598
53	0.5373296283
54	0.536701656
55	0.5356182439
56	0.534875267
57	0.5331397919
58	0.5322519455
59	0.5312871081
60	0.5303204939
61	0.5294036794
62	0.5285369878
63	0.5280407758
64	0.5273324417
65	0.5262415388
66	0.5256101248
67	0.5250523711
68	0.524528395
69	0.5232335758
70	0.5223500316
71	0.5214669847
72	0.5204100002
73	0.5197014144
74	0.5188286112
75	0.5177479406
76	0.516856155
77	0.5161543134
78	0.5155612494
79	0.5129041898
80	0.5123588922
81	0.5118048774
82	0.5112632526
83	0.5101934933
84	0.5097492079
85	0.5089513128
86	0.5071904426
87	0.5067961114
88	0.5067940545
89	0.5058829825
90	0.5043087901
91	0.5033331503
92	0.5027666042
93	0.5023163939
94	0.5015848306
95	0.5011151516
96	0.4998328809
97	0.4992318056
98	0.4986431793
99	0.4974283508
100	0.4967433383
101	0.4960006945
102	0.4953055969
103	0.4944017513
104	0.493439494
105	0.492335083
106	0.4918609119
107	0.4912868114
108	0.4901755243
109	0.4891817391
110	0.4886075302
111	0.4882599874
112	0.4878052816
113	0.487049526
114	0.4865920695
115	0.4852608439
116	0.4843884519
117	0.483440555
118	0.4828342284
119	0.4821738399
120	0.4809180234
121	0.4799252255
122	0.4795700456
123	0.4784281615
124	0.4772188537
125	0.4765748768
126	0.4753367406
127	0.4743755964
128	0.4740173282
129	0.4736540492
130	0.4729377378
131	0.4716955565
132	0.4707023293
133	0.4693082497
134	0.4684261327
135	0.4677007669
136	0.466784758
137	0.4655741164
138	0.4646584536
139	0.4640988487
140	0.462802245
141	0.4620713666
142	0.4610209432
143	0.4596221102
144	0.4588804763
145	0.4579678668
146	0.4569577371
147	0.4561267221
148	0.4557676924
149	0.4550783544
150	0.4547639182
151	0.4540280932
152	0.4527291817
153	0.4504373858
154	0.4497555174
155	0.4493000523
156	0.4487300492
157	0.4483399062
158	0.4474204156
159	0.4469163024
160	0.4453071593
161	0.4449993875
162	0.4435890974
163	0.4425987533
164	0.4415315185
165	0.4400284346
166	0.4395110968
167	0.4381358544
168	0.4371861105
169	0.4365874296
170	0.4362521523
171	0.4351712307
172	0.4345871369
173	0.4341094473
174	0.4333081378
175	0.4321599318
176	0.4315961007
177	0.4299647301
178	0.4293034902
179	0.4279791634
180	0.4277502306
181	0.4269654498
182	0.4257202615
183	0.4253119764
184	0.4241421588
185	0.423311653
186	0.4221258861
187	0.4213621369
188	0.4208974682
189	0.4200441379
190	0.4193398913
191	0.4190462372
192	0.4182635104
193	0.4175360893
194	0.416329698
195	0.4154796596
196	0.4145228259
197	0.4137183441
198	0.4133706785
199	0.4127113934
200	0.4123257252
201	0.4114784414
202	0.410782071
203	0.4097193605
204	0.4085802228
205	0.407482638
206	0.4062449742
207	0.4050305202
208	0.4041163277
209	0.4034693561
210	0.4027950188
211	0.4016933187
212	0.4006454144
213	0.4003518066
214	0.3996505145
215	0.3983562836
216	0.3976318387
217	0.3962501859
218	0.3951409191
219	0.3941760965
220	0.3929877788
221	0.3918595048
222	0.3913481835
223	0.3911327634
224	0.390548756
225	0.390146941
226	0.3897496461
227	0.3884834496
228	0.3882494672
229	0.3873513762
230	0.386716539
231	0.3860554168
232	0.3850655922
233	0.3840081891
234	0.3832675166
235	0.3821236726
236	0.3819908318
237	0.3811809723
238	0.3800620005
239	0.3790206124
240	0.3784589747
241	0.3777732776
242	0.3775387129
243	0.3770685117
244	0.3763607694
245	0.3755221995
246	0.3748740562
247	0.3740053553
248	0.3734469731
249	0.3732350862
250	0.3724034533
251	0.3718800854
252	0.3713913127
253	0.3708571907
254	0.3703777783
255	0.3694241335
256	0.3692301379
257	0.3685398538
258	0.3684950083
259	0.367712304
260	0.3671251669
261	0.3664322647
262	0.3662413265
263	0.365435051
264	0.364655003
265	0.3640049514
266	0.3629778221
267	0.3617226313
268	0.3611944436
269	0.3603750303
270	0.3595362311
271	0.3591239369
272	0.358624907
273	0.3585796022
274	0.3580806326
275	0.3570650334
276	0.3567844726
277	0.3561122593
278	0.3555052857
279	0.3545238993
280	0.3536303252
281	0.3525419469
282	0.3519651578
283	0.3513919598
284	0.3501406162
285	0.349414717
286	0.3493494533
287	0.3487386157
288	0.3476326758
289	0.3469135033
290	0.3465573923
291	0.346017422
292	0.3454868171
293	0.3450397379
294	0.3447262285
295	0.3442404177
296	0.3437960841
297	0.3430120253
298	0.3426546649
299	0.3424671235
300	0.3424287419
301	0.3415830168
302	0.3411896493
303	0.3406872695
304	0.3398828781
305	0.339398695
306	0.3386528722
307	0.3377547952
308	0.3369598814
309	0.33631644
310	0.3355010227
311	0.3346573275
312	0.3339662609
313	0.3331531331
314	0.3325720066
315	0.3325343856
316	0.3320942587
317	0.3316324822
318	0.33108517
319	0.3305808949
320	0.3298702453
321	0.329572853
322	0.3292577815
323	0.3286587524
324	0.3280887964
325	0.327367592
326	0.326701783
327	0.3263020393
328	0.3255814068
329	0.3248394414
330	0.3240948749
331	0.3233074559
332	0.3230670723
333	0.322547496
334	0.3213079576
335	0.3207863029
336	0.3201194013
337	0.3194356681
338	0.3190411643
339	0.3182674594
340	0.3176448272
341	0.3172023144
342	0.3165232207
343	0.3159558121
344	0.315413254
345	0.3146287757
346	0.3141169256
347	0.3133904267
348	0.3132565962
349	0.3124882504
350	0.3123640934
351	0.3119288556
352	0.3116519106
353	0.3112912504
354	0.3109114163
355	0.3102024792
356	0.3097406825
357	0.3092954981
358	0.3088723384
359	0.3083570814
360	0.30743515
361	0.3069810231
362	0.3063452135
363	0.305612184
364	0.3055511415
365	0.3048716032
366	0.3044043385
367	0.3037989167
368	0.3036479478
369	0.3035324255
370	0.3032842732
371	0.3028581823
372	0.302312014
373	0.3016302009
374	0.3010391234
375	0.3007420783
376	0.3001704036
377	0.299572163
378	0.2994283587
379	0.2992181077
380	0.2984999883
381	0.2980937016
382	0.2977794559
383	0.2977291
384	0.2972740241
385	0.2968832162
386	0.29640779
387	0.2962151182
388	0.2957636681
389	0.2954375793
390	0.2950013238
391	0.2945928268
392	0.294377843
393	0.294064838
394	0.2936177081
395	0.2934828281
396	0.2932530784
397	0.2928177909
398	0.2922338375
399	0.291908568
400	0.2909676606
401	0.2907056087
402	0.2903786131
403	0.2899506975
404	0.2899121794
405	0.2893941316
406	0.2891433122
407	0.2890320155
408	0.2884597156
409	0.2881672455
410	0.2875350894
411	0.2870536438
412	0.2870214784
413	0.2868878299
414	0.2864025592
415	0.2858410528
416	0.2852367157
417	0.2847724909
418	0.2842581123
419	0.2839743369
420	0.2835942139
421	0.2835626912
422	0.2830974392
423	0.2827181644
424	0.2826627016
425	0.2822657419
426	0.2822324541
427	0.2815503715
428	0.2811307523
429	0.2810136391
430	0.2806945854
431	0.2803229804
432	0.2800147455
433	0.2792447072
434	0.2787383254
435	0.2786279197
436	0.2781154579
437	0.277650197
438	0.2773589996
439	0.2767481871
440	0.2763771616
441	0.2762706704
442	0.2757062383
443	0.2755009616
444	0.2749224863
445	0.2748974908
446	0.2743065522
447	0.2738934198
448	0.2734037081
449	0.2731074376
450	0.2728822485
