iter	Logloss
451	0.2722790345
452	0.2719396046
453	0.2717186531
454	0.2716663918
455	0.2711139084
456	0.270636049
457	0.2702037616
458	0.2696290319
459	0.2694152387
460	0.269040187
461	0.269015748
462	0.2689333115
463	0.2687038746
464	0.2686253959
465	0.2682186242
466	0.2678128654
467	0.2673687869
468	0.2668450966
469	0.266723014
470	0.2665116481
471	0.2660421848
472	0.2655843162
473	0.2654324042
474	0.2651102721
475	0.2648050107
476	0.2647731515
477	0.2644989974
478	0.2639949391
479	0.2636214087
480	0.2631727492
481	0.2629121708
482	0.2626544428
483	0.2624425293
484	0.2620392509
485	0.2617259969
486	0.2613451812
487	0.2610246919
488	0.2601243701
489	0.2595529373
490	0.2591081858
491	0.2584669297
492	0.2581413564
493	0.2576876086
494	0.2576090167
495	0.2573405959
496	0.2572612348
497	0.2566899918
498	0.2560446707
499	0.2556520714

